Pareto Frontier,Inaccuracy,Time,NL,NF,lr,mom,Duration
1,"tensor(90.0200, device='cuda:0')",1.381922174245119,4,"[32, 64, 128]",0.1,0.7
XXX,XXX,XXX,XXX,XXX,XXX,XXX,189.45477413758636
2,"tensor(90.0200, device='cuda:0')",1.381922174245119,4,"[32, 64, 128]",0.1,0.7
2,"tensor(90., device='cuda:0')",1.482192002236843,4,"[128, 256, 512]",0.1,0.75
XXX,XXX,XXX,XXX,XXX,XXX,XXX
3,"tensor(47.2000, device='cuda:0')",1.343976765871048,4,"[32, 64, 128]",0.01,0.7
XXX,XXX,XXX,XXX,XXX,XXX,XXX
4,"tensor(47.2000, device='cuda:0')",1.343976765871048,4,"[32, 64, 128]",0.01,0.7
XXX,XXX,XXX,XXX,XXX,XXX,XXX
5,"tensor(47.2000, device='cuda:0')",1.343976765871048,4,"[32, 64, 128]",0.01,0.7
XXX,XXX,XXX,XXX,XXX,XXX,XXX
6,"tensor(47.2000, device='cuda:0')",1.343976765871048,4,"[32, 64, 128]",0.01,0.7
XXX,XXX,XXX,XXX,XXX,XXX,XXX
7,"tensor(47.2000, device='cuda:0')",1.343976765871048,4,"[32, 64, 128]",0.01,0.7
XXX,XXX,XXX,XXX,XXX,XXX,XXX
8,"tensor(44.0600, device='cuda:0')",1.3344573713839054,4,"[32, 64, 128, 256]",0.01,0.75
XXX,XXX,XXX,XXX,XXX,XXX,XXX
9,"tensor(44.0600, device='cuda:0')",1.3344573713839054,4,"[32, 64, 128, 256]",0.01,0.75
XXX,XXX,XXX,XXX,XXX,XXX,XXX
10,"tensor(44.0600, device='cuda:0')",1.3344573713839054,4,"[32, 64, 128, 256]",0.01,0.75
10,"tensor(90., device='cuda:0')",1.333069197833538,5,"[64, 128, 256]",0.1,0.75
XXX,XXX,XXX,XXX,XXX,XXX,XXX
11,"tensor(44.0600, device='cuda:0')",1.3344573713839054,4,"[32, 64, 128, 256]",0.01,0.75
11,"tensor(51.0300, device='cuda:0')",1.332641027867794,5,"[128, 256, 512]",0.01,0.7
XXX,XXX,XXX,XXX,XXX,XXX,XXX
12,"tensor(44.0600, device='cuda:0')",1.3344573713839054,4,"[32, 64, 128, 256]",0.01,0.75
12,"tensor(51.0300, device='cuda:0')",1.332641027867794,5,"[128, 256, 512]",0.01,0.7
XXX,XXX,XXX,XXX,XXX,XXX,XXX
13,"tensor(44.0600, device='cuda:0')",1.3344573713839054,4,"[32, 64, 128, 256]",0.01,0.75
13,"tensor(51.0300, device='cuda:0')",1.332641027867794,5,"[128, 256, 512]",0.01,0.7
XXX,XXX,XXX,XXX,XXX,XXX,XXX
14,"tensor(44.0600, device='cuda:0')",1.3344573713839054,4,"[32, 64, 128, 256]",0.01,0.75
14,"tensor(51.0300, device='cuda:0')",1.332641027867794,5,"[128, 256, 512]",0.01,0.7
XXX,XXX,XXX,XXX,XXX,XXX,XXX
15,"tensor(44.0600, device='cuda:0')",1.3344573713839054,4,"[32, 64, 128, 256]",0.01,0.75
15,"tensor(51.0300, device='cuda:0')",1.332641027867794,5,"[128, 256, 512]",0.01,0.7
15,"tensor(47.1500, device='cuda:0')",1.3342706896364689,5,"[64, 128, 256, 512]",0.01,0.7
XXX,XXX,XXX,XXX,XXX,XXX,XXX
16,"tensor(44.0600, device='cuda:0')",1.3344573713839054,4,"[32, 64, 128, 256]",0.01,0.75
16,"tensor(51.0300, device='cuda:0')",1.332641027867794,5,"[128, 256, 512]",0.01,0.7
16,"tensor(47.1500, device='cuda:0')",1.3342706896364689,5,"[64, 128, 256, 512]",0.01,0.7
XXX,XXX,XXX,XXX,XXX,XXX,XXX
